democratic	democratic7	energy	random	static
0.166667 61	0.166667 61	0.166667 6	0.166667 6	0 6
0.333333 61	0.333333 61	0.333333 5	0.333333 3	1.82697 5
0.5 61	0.5 61	0.5 7	0.5 6	1.83132 4
0.666667 61	0.666667 61	0.666667 7	0.666667 1	1.84713 3
0.833333 61	0.833333 61	0.833333 6	0.833333 5	1.90357 2
1 61	1 61	1 5	1 6	1.9443 1
1.16667 2	1.16667 2	1.16667 7	1.16667 4	1.99392 0
1.33333 3	1.33333 2	1.33333 6	1.33333 8	
1.5 7	1.5 2	1.5 6	1.5 7	
1.66667 7	1.66667 2	1.66667 6	1.66667 6	
1.83333 5	1.83333 2	1.83333 2	1.83333 6	
2 4	2 4	2 4	2 7	
2.16667 6	2.16667 5	2.16667 6	2.16667 6	
2.33333 7	2.33333 4	2.33333 7	2.33333 7	
2.5 9	2.5 2	2.5 6	2.5 4	
2.66667 6	2.66667 4	2.66667 8	2.66667 8	
2.83333 3	2.83333 4	2.83333 5	2.83333 7	
3 3	3 6	3 8	3 5	
3.16667 4	3.16667 7	3.16667 8	3.16667 6	
3.33333 6	3.33333 4	3.33333 3	3.33333 5	
3.5 9	3.5 6	3.5 4	3.5 9	
3.66667 4	3.66667 2	3.66667 3	3.66667 5	
3.83333 5	3.83333 2	3.83333 3	3.83333 6	
4 8	4 2	4 5	4 8	
4.16667 7	4.16667 2	4.16667 6	4.16667 5	
4.33333 8	4.33333 4	4.33333 7	4.33333 7	
4.5 5	4.5 5	4.5 5	4.5 6	
4.66667 2	4.66667 4	4.66667 7	4.66667 8	
4.83333 5	4.83333 4	4.83333 6	4.83333 7	
5 6	5 5	5 9	5 7	
5.16667 7	5.16667 2	5.16667 7	5.16667 3	
5.33333 7	5.33333 5	5.33333 3	5.33333 3	
5.5 2	5.5 4	5.5 3	5.5 6	
5.66667 5	5.66667 6	5.66667 5	5.66667 4	
5.83333 7	5.83333 6	5.83333 7	5.83333 5	
6 7	6 5	6 6	6 7	
6.16667 7	6.16667 4	6.16667 4	6.16667 7	
6.33333 7	6.33333 2	6.33333 8	6.33333 2	
6.5 4	6.5 2	6.5 4	6.5 8	
6.66667 3	6.66667 2	6.66667 5	6.66667 5	
6.83333 5	6.83333 5	6.83333 7	6.83333 7	
7 6	7 3	7 9	7 6	
7.16667 5	7.16667 4	7.16667 5	7.16667 6	
7.33333 7	7.33333 6	7.33333 4	7.33333 6	
7.5 6	7.5 2	7.5 4	7.5 7	
7.66667 5	7.66667 4	7.66667 7	7.66667 1	
7.83333 6	7.83333 3	7.83333 4	7.83333 3	
8 7	8 5	8 4	8 6	
8.16667 8	8.16667 6	8.16667 6	8.16667 8	
8.33333 5	8.33333 6	8.33333 7	8.33333 9	
8.5 3	8.5 4	8.5 7	8.5 4	
8.66667 6	8.66667 5	8.66667 6	8.66667 8	
8.83333 5	8.83333 4	8.83333 7	8.83333 8	
9 4	9 2	9 6	9 8	
9.16667 6	9.16667 2	9.16667 4	9.16667 7	
9.33333 4	9.33333 3	9.33333 5	9.33333 5	
9.5 5	9.5 5	9.5 6	9.5 6	
9.66667 9	9.66667 3	9.66667 3	9.66667 3	
9.83333 7	9.83333 6	9.83333 6	9.83333 5	
10 7	10 2	10 6	10 7	
10.1667 6	10.1667 3	10.1667 5	10.1667 6	
10.3333 3	10.3333 4	10.3333 7	10.3333 6	
10.5 6	10.5 3	10.5 6	10.5 8	
10.6667 6	10.6667 5	10.6667 8	10.6667 7	
10.8333 6	10.8333 6	10.8333 7	10.8333 4	
11 3	11 4	11 4	11 6	
11.1667 5	11.1667 3	11.1667 4	11.1667 7	
11.3333 6	11.3333 6	11.3333 6	11.3333 7	
11.5 7	11.5 5	11.5 2	11.5 5	
11.6667 4	11.6667 3	11.6667 8	11.6667 6	
11.8333 7	11.8333 4	11.8333 5	11.8333 7	
12 7	12 4	12 8	12 5	
12.1667 8	12.1667 3	12.1667 5	12.1667 6	
12.3333 5	12.3333 2	12.3333 3	12.3333 5	
12.5 4	12.5 5	12.5 8	12.5 7	
12.6667 4	12.6667 3	12.6667 9	12.6667 7	
12.8333 5	12.8333 4	12.8333 4	12.8333 4	
13 7	13 5	13 7	13 7	
13.1667 3	13.1667 2	13.1667 3	13.1667 6	
13.3333 6	13.3333 5	13.3333 3	13.3333 6	
13.5 9	13.5 3	13.5 6	13.5 6	
13.6667 5	13.6667 6	13.6667 6	13.6667 5	
13.8333 6	13.8333 6	13.8333 5	13.8333 6	
14 7	14 3	14 9	14 7	
14.1667 6	14.1667 2	14.1667 4	14.1667 7	
14.3333 5	14.3333 5	14.3333 7	14.3333 6	
14.5 5	14.5 6	14.5 4	14.5 5	
14.6667 3	14.6667 4	14.6667 6	14.6667 5	
14.8333 5	14.8333 2	14.8333 8	14.8333 5	
15 7	15 4	15 4	15 6	
15.1667 5	15.1667 2	15.1667 4	15.1667 2	
15.3333 5	15.3333 5	15.3333 6	15.3333 8	
15.5 7	15.5 3	15.5 4	15.5 7	
15.6667 6	15.6667 3	15.6667 5	15.6667 3	
15.8333 6	15.8333 3	15.8333 6	15.8333 3	
16 0	16 6	16 8	16 3	
16.1667 0	16.1667 4	16.1667 4	16.1667 2	
16.3333 0	16.3333 4	16.3333 9	16.3333 2	
16.5 0	16.5 5	16.5 9	16.5 6	
16.6667 0	16.6667 3	16.6667 4	16.6667 3	
16.8333 0	16.8333 4	16.8333 3	16.8333 4	
17 0	17 7	17 3	17 3	
17.1667 0	17.1667 6	17.1667 6	17.1667 3	
17.3333 0	17.3333 2	17.3333 5	17.3333 5	
17.5 0	17.5 2	17.5 3	17.5 5	
17.6667 0	17.6667 5	17.6667 5	17.6667 4	
17.8333 0	17.8333 2	17.8333 7	17.8333 4	
18 0	18 2	18 4	18 2	
18.1667 0	18.1667 3	18.1667 0	18.1667 5	
18.3333 0	18.3333 6	18.3333 0	18.3333 4	
18.5 0	18.5 5	18.5 0	18.5 4	
18.6667 0	18.6667 3	18.6667 0	18.6667 1	
18.8333 0	18.8333 5	18.8333 0	18.8333 2	
19 0	19 3	19 0	19 4	
19.1667 0	19.1667 3	19.1667 0	19.1667 4	
19.3333 0	19.3333 6	19.3333 0	19.3333 3	
19.5 0	19.5 3	19.5 0	19.5 4	
19.6667 0	19.6667 5	19.6667 0	19.6667 1	
19.8333 0	19.8333 6	19.8333 0	19.8333 2	
20 0	20 3	20 0	20 4	
20.1667 0	20.1667 3	20.1667 0	20.1667 2	
20.3333 0	20.3333 3	20.3333 0	20.3333 2	
20.5 0	20.5 5	20.5 0	20.5 3	
20.6667 0	20.6667 3	20.6667 0	20.6667 1	
20.8333 0	20.8333 2	20.8333 0	20.8333 2	
21 0	21 3	21 0	21 4	
21.1667 0	21.1667 2	21.1667 0	21.1667 2	
21.3333 0	21.3333 3	21.3333 0	21.3333 3	
21.5 0	21.5 0	21.5 0	21.5 2	
21.6667 0	21.6667 0	21.6667 0	21.6667 0	
21.8333 0	21.8333 0	21.8333 0	21.8333 3	
22 0	22 0	22 0	22 2	
22.1667 0	22.1667 0	22.1667 0	22.1667 1	
22.3333 0	22.3333 0	22.3333 0	22.3333 2	
22.5 0	22.5 0	22.5 0	22.5 0	
22.6667 0	22.6667 0	22.6667 0	22.6667 3	
22.8333 0	22.8333 0	22.8333 0	22.8333 0	
23 0	23 0	23 0	23 1	
23.1667 0	23.1667 0	23.1667 0	23.1667 2	
23.3333 0	23.3333 0	23.3333 0	23.3333 0	
23.5 0	23.5 0	23.5 0	23.5 2	
23.6667 0	23.6667 0	23.6667 0	23.6667 2	
23.8333 0	23.8333 0	23.8333 0	23.8333 3	
24 0	24 0	24 0	24 1	
