democratic	democratic7	energy	random	static
10.3333 4.4	10.3333 3.7	10.3333 7.3	10.3333 5.4	
10.5 6.3	10.5 3.3	10.5 6.2	10.5 6.5	
10.6667 5.6	10.6667 4.6	10.6667 7	10.6667 5.9	
10.8333 5.3	10.8333 5.9	10.8333 6.5	10.8333 5.8	
11 4.5	11 4.2	11 4.1	11 6.1	
11.1667 4.1	11.1667 3.5	11.1667 3.8	11.1667 6.2	
11.3333 6.7	11.3333 4.8	11.3333 5.4	11.3333 5.4	
11.5 6.9	11.5 5.4	11.5 4.6	11.5 6.2	
11.6667 4.4	11.6667 3.1	11.6667 5.5	11.6667 6.4	
11.8333 7.3	11.8333 3.8	11.8333 5.7	11.8333 6.4	
12 6.6	12 4.6	12 7.9	12 5.1	
12.1667 7.2	12.1667 2.7	12.1667 6.1	12.1667 4.6	
12.3333 5	12.3333 2.8	12.3333 5.5	12.3333 5.5	
12.5 4	12.5 3.1	12.5 6.1	12.5 5.3	
12.6667 4.3	12.6667 4	12.6667 6.8	12.6667 5.2	
12.8333 4.7	12.8333 4.6	12.8333 5	12.8333 5.2	
13 7	13 3.6	13 5.8	13 5.1	
13.1667 5.2	13.1667 4	13.1667 4.2	13.1667 4.2	
13.3333 5.6	13.3333 4.3	13.3333 3.4	13.3333 4.2	
13.5 6.9	13.5 4	13.5 5.6	13.5 4.4	
13.6667 4.7	13.6667 4	13.6667 6.1	13.6667 5.1	
13.8333 6.7	13.8333 5.2	13.8333 6.4	13.8333 5.4	
14 6.9	14 2.9	14 7.5	14 5.4	
14.1667 5.9	14.1667 4.1	14.1667 5.4	14.1667 6.4	
14.3333 5.2	14.3333 4.3	14.3333 6.5	14.3333 5.7	
14.5 4.5	14.5 5.2	14.5 4.4	14.5 5.5	
14.6667 2.7	14.6667 5	14.6667 5.6	14.6667 5.4	
14.8333 5.6	14.8333 2.1	14.8333 6.3	14.8333 3.5	
15 7.6	15 3	15 4.4	15 4.8	
15.1667 5.2	15.1667 3.3	15.1667 4.7	15.1667 4.6	
15.3333 5.7	15.3333 3.3	15.3333 4.7	15.3333 4.6	
15.5 5	15.5 3.5	15.5 5	15.5 4.1	
15.6667 7.4	15.6667 3.1	15.6667 6.3	15.6667 4.9	
15.8333 5.3	15.8333 3.2	15.8333 7	15.8333 3.9	
16 0.4	16 5.1	16 6.6	16 3.7	
16.1667 0	16.1667 5.1	16.1667 5.6	16.1667 3	
16.3333 0	16.3333 4.7	16.3333 6.3	16.3333 3.4	
16.5 0	16.5 4.6	16.5 7.2	16.5 3.6	
16.6667 0	16.6667 3.3	16.6667 4.5	16.6667 3.6	
16.8333 0	16.8333 3.7	16.8333 4.7	16.8333 3.5	
17 0	17 6.8	17 4.3	17 3.8	
17.1667 0	17.1667 5.8	17.1667 5.1	17.1667 3.1	
17.3333 0	17.3333 2.3	17.3333 4.4	17.3333 3.7	
17.5 0	17.5 2.4	17.5 5.2	17.5 4	
17.6667 0	17.6667 3.5	17.6667 5.5	17.6667 4.4	
17.8333 0	17.8333 2.2	17.8333 6	17.8333 3.6	
18 0	18 3	18 7	18 2.9	
18.1667 0	18.1667 3.2	18.1667 3.2	18.1667 3.5	
18.3333 0	18.3333 4.7	18.3333 0	18.3333 3.6	
18.5 0	18.5 4.6	18.5 0	18.5 3.4	
18.6667 0	18.6667 4.2	18.6667 0	18.6667 2.5	
18.8333 0	18.8333 4.4	18.8333 0	18.8333 2.5	
19 0	19 4.2	19 0	19 2.9	
19.1667 0	19.1667 3.8	19.1667 0	19.1667 4.1	
19.3333 0	19.3333 4.7	19.3333 0	19.3333 3.1	
19.5 0	19.5 4.6	19.5 0	19.5 3	
19.6667 0	19.6667 4.3	19.6667 0	19.6667 2.7	
19.8333 0	19.8333 5.1	19.8333 0	19.8333 2.8	
20 0	20 3.1	20 0	20 2.2	
20.1667 0	20.1667 3.5	20.1667 0	20.1667 2.8	
20.3333 0	20.3333 3.4	20.3333 0	20.3333 3.1	
20.5 0	20.5 3.4	20.5 0	20.5 3.2	
20.6667 0	20.6667 2.9	20.6667 0	20.6667 1.8	
20.8333 0	20.8333 2.8	20.8333 0	20.8333 1.9	
21 0	21 2.4	21 0	21 1.9	
21.1667 0	21.1667 3.2	21.1667 0	21.1667 2	
21.3333 0	21.3333 2.3	21.3333 0	21.3333 2	
21.5 0	21.5 0	21.5 0	21.5 1.4	
21.6667 0	21.6667 0	21.6667 0	21.6667 2.7	
21.8333 0	21.8333 0	21.8333 0	21.8333 1.7	
22 0	22 0	22 0	22 1.6	
22.1667 0	22.1667 0	22.1667 0	22.1667 1.8	
22.3333 0	22.3333 0	22.3333 0	22.3333 2.6	
22.5 0	22.5 0	22.5 0	22.5 1.7	
22.6667 0	22.6667 0	22.6667 0	22.6667 1.9	
22.8333 0	22.8333 0	22.8333 0	22.8333 1.5	
23 0	23 0	23 0	23 2.1	
23.1667 0	23.1667 0	23.1667 0	23.1667 2.2	
23.3333 0	23.3333 0	23.3333 0	23.3333 0.6	
23.5 0	23.5 0	23.5 0	23.5 1.8	
23.6667 0	23.6667 0	23.6667 0	23.6667 1.5	
23.8333 0	23.8333 0	23.8333 0	23.8333 1.6	
24 0	24 0	24 0	24 2.3	
24.1667 0	24.1667 0	24.1667 0	24.1667 2.1	
24.3333 0	24.3333 0	24.3333 0	24.3333 1	
24.5 0	24.5 0	24.5 0	24.5 1.7	
24.6667 0	24.6667 0	24.6667 0	24.6667 1.3	
24.8333 0	24.8333 0	24.8333 0	24.8333 1.1	
25 0	25 0	25 0	25 1	
25.1667 0	25.1667 0	25.1667 0	25.1667 0.7	
25.3333 0	25.3333 0	25.3333 0	25.3333 2	
25.5 0	25.5 0	25.5 0	25.5 1.7	
25.6667 0	25.6667 0	25.6667 0	25.6667 0.8	
25.8333 0	25.8333 0	25.8333 0	25.8333 1.5	
26 0	26 0	26 0	26 1	
26.1667 0	26.1667 0	26.1667 0	26.1667 1.1	
26.3333 0	26.3333 0	26.3333 0	26.3333 0.9	
26.5 0	26.5 0	26.5 0	26.5 0.8	
26.6667 0	26.6667 0	26.6667 0	26.6667 0.6	
26.8333 0	26.8333 0	26.8333 0	26.8333 1.4	
27 0	27 0	27 0	27 1.4	
27.1667 0	27.1667 0	27.1667 0	27.1667 1.2	
27.3333 0	27.3333 0	27.3333 0	27.3333 1.4	
27.5 0	27.5 0	27.5 0	27.5 0.6	
27.6667 0	27.6667 0	27.6667 0	27.6667 0.7	
27.8333 0	27.8333 0	27.8333 0	27.8333 0.6	
28 0	28 0	28 0	28 0.7	
28.1667 0	28.1667 0	28.1667 0	28.1667 0.8	
28.3333 0	28.3333 0	28.3333 0	28.3333 0.3	
28.5 0	28.5 0	28.5 0	28.5 0.4	
28.6667 0	28.6667 0	28.6667 0	28.6667 0.7	
28.8333 0	28.8333 0	28.8333 0	28.8333 0.8	
29 0	29 0	29 0	29 0.2	
29.1667 0	29.1667 0	29.1667 0	29.1667 0.4	
29.3333 0	29.3333 0	29.3333 0	29.3333 0.2	
29.5 0	29.5 0	29.5 0	29.5 0.1	
29.6667 0	29.6667 0	29.6667 0	29.6667 0.4	
29.8333 0	29.8333 0	29.8333 0	29.8333 0.3	
30 0	30 0	30 0	30 0.3	
30.1667 0	30.1667 0	30.1667 0	30.1667 0.5	
30.3333 0	30.3333 0	30.3333 0	30.3333 0.4	
30.5 0	30.5 0	30.5 0	30.5 0.7	
30.6667 0	30.6667 0	30.6667 0	30.6667 0.6	
30.8333 0	30.8333 0	30.8333 0	30.8333 0.1	
31 0	31 0	31 0	31 0.2	
31.1667 0	31.1667 0	31.1667 0	31.1667 0.4	
31.3333 0	31.3333 0	31.3333 0	31.3333 0.5	
31.5 0	31.5 0	31.5 0	31.5 0	
31.6667 0	31.6667 0	31.6667 0	31.6667 0.2	
31.8333 0	31.8333 0	31.8333 0	31.8333 0.2	
32 0	32 0	32 0	32 0.2	
32.1667 0	32.1667 0	32.1667 0	32.1667 0.3	
32.3333 0	32.3333 0	32.3333 0	32.3333 0.3	
32.5 0	32.5 0	32.5 0	32.5 0	
32.6667 0	32.6667 0	32.6667 0	32.6667 0.2	
32.8333 0	32.8333 0	32.8333 0	32.8333 0.3	
33 0	33 0	33 0	33 0.2	
33.1667 0	33.1667 0	33.1667 0	33.1667 0	
33.3333 0	33.3333 0	33.3333 0	33.3333 0.1	
33.5 0	33.5 0	33.5 0	33.5 0	
33.6667 0	33.6667 0	33.6667 0	33.6667 0.2	
33.8333 0	33.8333 0	33.8333 0	33.8333 0.1	
34 0	34 0	34 0	34 0	
34.1667 0	34.1667 0	34.1667 0	34.1667 0	
34.3333 0	34.3333 0	34.3333 0	34.3333 0	
34.5 0	34.5 0	34.5 0	34.5 0	
34.6667 0	34.6667 0	34.6667 0	34.6667 0	
34.8333 0	34.8333 0	34.8333 0	34.8333 0.2	
35 0	35 0	35 0	35 0.2	
35.1667 0	35.1667 0	35.1667 0	35.1667 0.3	
35.3333 0	35.3333 0	35.3333 0	35.3333 0.1	
35.5 0	35.5 0	35.5 0	35.5 0	
35.6667 0	35.6667 0	35.6667 0	35.6667 0	
35.8333 0	35.8333 0	35.8333 0	35.8333 0.3	
36 0	36 0	36 0	36 0.1	
36.1667 0	36.1667 0	36.1667 0	36.1667 0	
36.3333 0	36.3333 0	36.3333 0	36.3333 0	
36.5 0	36.5 0	36.5 0	36.5 0.4	
36.6667 0	36.6667 0	36.6667 0	36.6667 0.1	
36.8333 0	36.8333 0	36.8333 0	36.8333 0	
37 0	37 0	37 0	37 0	
37.1667 0	37.1667 0	37.1667 0	37.1667 0.1	
37.3333 0	37.3333 0	37.3333 0	37.3333 0.2	
37.5 0	37.5 0	37.5 0	37.5 0.1	
37.6667 0	37.6667 0	37.6667 0	37.6667 0.1	
37.8333 0	37.8333 0	37.8333 0	37.8333 0.1	
38 0	38 0	38 0	38 0	
38.1667 0	38.1667 0	38.1667 0	38.1667 0	
38.3333 0	38.3333 0	38.3333 0	38.3333 0	
38.5 0	38.5 0	38.5 0	38.5 0	
38.6667 0	38.6667 0	38.6667 0	38.6667 0.3	
38.8333 0	38.8333 0	38.8333 0	38.8333 0.1	
39 0	39 0	39 0	39 0	
39.1667 0	39.1667 0	39.1667 0	39.1667 0.1	
39.3333 0	39.3333 0	39.3333 0	39.3333 0	
39.5 0	39.5 0	39.5 0	39.5 0	
39.6667 0	39.6667 0	39.6667 0	39.6667 0	
39.8333 0	39.8333 0	39.8333 0	39.8333 0	
40 0	40 0	40 0	40 0.2	
40.1667 0	40.1667 0	40.1667 0	40.1667 0	
40.3333 0	40.3333 0	40.3333 0	40.3333 0	
40.5 0	40.5 0	40.5 0	40.5 0	
40.6667 0	40.6667 0	40.6667 0	40.6667 0	
40.8333 0	40.8333 0	40.8333 0	40.8333 0.1	
41 0	41 0	41 0	41 0	
41.1667 0	41.1667 0	41.1667 0	41.1667 0.1	
41.3333 0	41.3333 0	41.3333 0	41.3333 0.2	
41.5 0	41.5 0	41.5 0	41.5 0.1	
41.6667 0	41.6667 0	41.6667 0	41.6667 0	
41.8333 0	41.8333 0	41.8333 0	41.8333 0	
42 0	42 0	42 0	42 0	
42.1667 0	42.1667 0	42.1667 0	42.1667 0	
42.3333 0	42.3333 0	42.3333 0	42.3333 0.2	
42.5 0	42.5 0	42.5 0	42.5 0	
42.6667 0	42.6667 0	42.6667 0	42.6667 0	
42.8333 0	42.8333 0	42.8333 0	42.8333 0	
43 0	43 0	43 0	43 0	
43.1667 0	43.1667 0	43.1667 0	43.1667 0	
43.3333 0	43.3333 0	43.3333 0	43.3333 0	
43.5 0	43.5 0	43.5 0	43.5 0	
43.6667 0	43.6667 0	43.6667 0	43.6667 0	
43.8333 0	43.8333 0	43.8333 0	43.8333 0	
44 0	44 0	44 0	44 0	
44.1667 0	44.1667 0	44.1667 0	44.1667 0	
44.3333 0	44.3333 0	44.3333 0	44.3333 0	
44.5 0	44.5 0	44.5 0	44.5 0	
44.6667 0	44.6667 0	44.6667 0	44.6667 0	
44.8333 0	44.8333 0	44.8333 0	44.8333 0	
45 0	45 0	45 0	45 0	
45.1667 0	45.1667 0	45.1667 0	45.1667 0	
45.3333 0	45.3333 0	45.3333 0	45.3333 0	
45.5 0	45.5 0	45.5 0	45.5 0	
45.6667 0	45.6667 0	45.6667 0	45.6667 0	
45.8333 0	45.8333 0	45.8333 0	45.8333 0	
46 0	46 0	46 0	46 0	
46.1667 0	46.1667 0	46.1667 0	46.1667 0	
46.3333 0	46.3333 0	46.3333 0	46.3333 0	
46.5 0	46.5 0	46.5 0	46.5 0	
46.6667 0	46.6667 0	46.6667 0	46.6667 0	
46.8333 0	46.8333 0	46.8333 0	46.8333 0	
47 0	47 0	47 0	47 0	
47.1667 0	47.1667 0	47.1667 0	47.1667 0	
47.3333 0	47.3333 0	47.3333 0	47.3333 0	
47.5 0	47.5 0	47.5 0	47.5 0	
47.6667 0	47.6667 0	47.6667 0	47.6667 0	
47.8333 0	47.8333 0	47.8333 0	47.8333 0	
48 0	48 0	48 0	48 0	
48.1667 0	48.1667 0	48.1667 0	48.1667 0	
48.3333 0	48.3333 0	48.3333 0	48.3333 0	
48.5 0	48.5 0	48.5 0	48.5 0	
48.6667 0	48.6667 0	48.6667 0	48.6667 0	
48.8333 0	48.8333 0	48.8333 0	48.8333 0	
49 0	49 0	49 0	49 0	
49.1667 0	49.1667 0	49.1667 0	49.1667 0	
49.3333 0	49.3333 0	49.3333 0	49.3333 0	
49.5 0	49.5 0	49.5 0	49.5 0	
49.6667 0	49.6667 0	49.6667 0	49.6667 0	
49.8333 0	49.8333 0	49.8333 0	49.8333 0	
50 0	50 0	50 0	50 0	
50.1667 0	50.1667 0	50.1667 0	50.1667 0	
50.3333 0	50.3333 0	50.3333 0	50.3333 0	
50.5 0	50.5 0	50.5 0	50.5 0	
50.6667 0	50.6667 0	50.6667 0	50.6667 0	
50.8333 0	50.8333 0	50.8333 0	50.8333 0	
51 0	51 0	51 0	51 0	
51.1667 0	51.1667 0	51.1667 0	51.1667 0	
51.3333 0	51.3333 0	51.3333 0	51.3333 0	
51.5 0	51.5 0	51.5 0	51.5 0	
51.6667 0	51.6667 0	51.6667 0	51.6667 0	
51.8333 0	51.8333 0	51.8333 0	51.8333 0	
52 0	52 0	52 0	52 0	
52.1667 0	52.1667 0	52.1667 0	52.1667 0	
52.3333 0	52.3333 0	52.3333 0	52.3333 0	
52.5 0	52.5 0	52.5 0	52.5 0	
52.6667 0	52.6667 0	52.6667 0	52.6667 0	
52.8333 0	52.8333 0	52.8333 0	52.8333 0	
53 0	53 0	53 0	53 0	
53.1667 0	53.1667 0	53.1667 0	53.1667 0	
53.3333 0	53.3333 0	53.3333 0	53.3333 0	
53.5 0	53.5 0	53.5 0	53.5 0	
53.6667 0	53.6667 0	53.6667 0	53.6667 0	
53.8333 0	53.8333 0	53.8333 0	53.8333 0	
54 0	54 0	54 0	54 0	
54.1667 0	54.1667 0	54.1667 0	54.1667 0	
54.3333 0	54.3333 0	54.3333 0	54.3333 0	
54.5 0	54.5 0	54.5 0	54.5 0	
54.6667 0	54.6667 0	54.6667 0	54.6667 0	
54.8333 0	54.8333 0	54.8333 0	54.8333 0	
55 0	55 0	55 0	55 0	
55.1667 0	55.1667 0	55.1667 0	55.1667 0	
55.3333 0	55.3333 0	55.3333 0	55.3333 0	
55.5 0	55.5 0	55.5 0	55.5 0	
55.6667 0	55.6667 0	55.6667 0	55.6667 0	
55.8333 0	55.8333 0	55.8333 0	55.8333 0	
56 0	56 0	56 0	56 0	
56.1667 0	56.1667 0	56.1667 0	56.1667 0	
56.3333 0	56.3333 0	56.3333 0	56.3333 0	
56.5 0	56.5 0	56.5 0	56.5 0	
56.6667 0	56.6667 0	56.6667 0	56.6667 0	
56.8333 0	56.8333 0	56.8333 0	56.8333 0	
57 0	57 0	57 0	57 0	
57.1667 0	57.1667 0	57.1667 0	57.1667 0	
57.3333 0	57.3333 0	57.3333 0	57.3333 0	
57.5 0	57.5 0	57.5 0	57.5 0	
57.6667 0	57.6667 0	57.6667 0	57.6667 0	
57.8333 0	57.8333 0	57.8333 0	57.8333 0	
58 0	58 0	58 0	58 0	
58.1667 0	58.1667 0	58.1667 0	58.1667 0	
58.3333 0	58.3333 0	58.3333 0	58.3333 0	
58.5 0	58.5 0	58.5 0	58.5 0	
58.6667 0	58.6667 0	58.6667 0	58.6667 0	
58.8333 0	58.8333 0	58.8333 0	58.8333 0	
59 0	59 0	59 0	59 0	
59.1667 0	59.1667 0	59.1667 0	59.1667 0	
59.3333 0	59.3333 0	59.3333 0	59.3333 0	
59.5 0	59.5 0	59.5 0	59.5 0	
59.6667 0	59.6667 0	59.6667 0	59.6667 0	
59.8333 0	59.8333 0	59.8333 0	59.8333 0	
60 0	60 0	60 0	60 0	
